i,j,x,y,yaw
0,571,0.00307,0.13636,-0.06879
0,572,0.00307,0.13636,-0.06879
0,573,0.00404,0.13735,-0.0696
0,574,0.00404,0.13735,-0.0696
0,575,0.00404,0.13735,-0.0696
0,576,0.00476,0.13775,-0.05516
0,577,0.00476,0.13775,-0.05516
0,578,0.00476,0.13775,-0.05516
0,579,0.00476,0.13775,-0.05516
0,580,0.00576,0.13843,-0.05608
0,581,0.00576,0.13843,-0.05608
0,582,0.00576,0.13843,-0.05608
0,583,0.00576,0.13843,-0.05608
0,584,0.00576,0.13843,-0.05608
0,585,0.00576,0.13843,-0.05608
0,586,0.00465,0.13745,-0.07651
0,587,0.00465,0.13745,-0.07651
0,588,0.00465,0.13745,-0.07651
0,589,0.0055,0.13774,-0.05513
0,590,0.0055,0.13774,-0.05513
0,591,0.0055,0.13774,-0.05513
0,592,0.0055,0.13774,-0.05513
0,593,0.0055,0.13774,-0.05513
0,594,0.0055,0.13774,-0.05513
0,595,0.0055,0.13774,-0.05513
0,596,0.0055,0.13774,-0.05513
0,597,0.0055,0.13774,-0.05513
0,598,0.0055,0.13774,-0.05513
0,599,0.0055,0.13774,-0.05513
0,600,0.0055,0.13774,-0.05513
0,601,0.0055,0.13774,-0.05513
0,602,0.0055,0.13774,-0.05513
0,603,0.0055,0.13774,-0.05513
0,604,0.0055,0.13774,-0.05513
0,605,0.0055,0.13774,-0.05513
0,606,0.0055,0.13774,-0.05513
0,607,0.0055,0.13774,-0.05513
0,608,0.00434,0.13683,-0.06286
0,609,0.00434,0.13683,-0.06286
0,610,0.00434,0.13683,-0.06286
0,611,0.00623,0.13774,-0.05509
0,612,0.00623,0.13774,-0.05509
0,613,0.00623,0.13774,-0.05509
0,614,0.00623,0.13774,-0.05509
0,615,0.00623,0.13774,-0.05509
0,616,0.00623,0.13774,-0.05509
0,617,0.00623,0.13774,-0.05509
0,618,0.00623,0.13774,-0.05509
0,619,0.00623,0.13774,-0.05509
0,620,0.00623,0.13774,-0.05509
0,621,0.00623,0.13774,-0.05509
0,622,0.00623,0.13774,-0.05509
0,623,0.00623,0.13774,-0.05509
0,624,0.00623,0.13774,-0.05509
0,625,0.00623,0.13774,-0.05509
0,626,0.00592,0.13795,-0.05498
0,627,0.00592,0.13795,-0.05498
0,628,0.00592,0.13795,-0.05498
0,629,0.00592,0.13795,-0.05498
0,630,0.00649,0.13772,-0.05185
0,631,0.00649,0.13772,-0.05185
0,632,0.00649,0.13772,-0.05185
0,633,0.00792,0.13892,-0.05228
0,634,0.00792,0.13892,-0.05228
0,635,0.00792,0.13892,-0.05228
0,636,0.00775,0.13862,-0.05626
0,637,0.00775,0.13862,-0.05626
0,638,0.00775,0.13862,-0.05626
0,639,0.00792,0.13892,-0.05228
0,640,0.00792,0.13892,-0.05228
0,641,0.00792,0.13892,-0.05228
0,642,0.00666,0.13795,-0.05499
0,643,0.00666,0.13795,-0.05499
0,644,0.00666,0.13795,-0.05499
0,645,0.00666,0.13795,-0.05499
0,646,0.00666,0.13795,-0.05499
0,647,0.00666,0.13795,-0.05499
0,648,0.00745,0.13819,-0.03352
0,649,0.00745,0.13819,-0.03352
0,650,0.00745,0.13819,-0.03352
0,651,0.00745,0.13819,-0.03352
0,652,0.00745,0.13819,-0.03352
0,653,0.00745,0.13819,-0.03352
0,654,0.00745,0.13819,-0.03352
0,655,0.00723,0.13772,-0.05185
0,656,0.00723,0.13772,-0.05185
0,657,0.00723,0.13772,-0.05185
0,658,0.00723,0.13772,-0.05185
0,659,0.00723,0.13772,-0.05185
0,660,0.00723,0.13772,-0.05185
0,661,0.00751,0.13812,-0.04619
0,662,0.00751,0.13812,-0.04619
0,663,0.00751,0.13812,-0.04619
0,664,0.00867,0.13892,-0.05184
0,665,0.00867,0.13892,-0.05184
0,666,0.00867,0.13892,-0.05184
0,667,0.00867,0.13892,-0.05184
